"","blogs","books","brochures","chats","discussion lists","e-magazines","legal texts","newsletters","newspapers","policy documents","press releases","proceedings","reports","sms","subtitles","texts for the visually impaired","tweets","wikipedia","written assignments"
"roet in het eten ","   0.00000"," 286.42592","   0.00000","  42.11082"," 455.57644","1391.10306","   0.00000","   0.00000","2274.77003"," 573.95061","   0.00000","   0.00000","1352.43391"," 690.72604"," 301.31324","   0.00000"," 538.85788"," 434.76023","   0.00000"
"rug tegen de muur ","  0.00000","782.89752","  0.00000"," 42.11082","543.18730","347.77577","  0.00000","  0.00000","727.54846","229.58024","  0.00000","  0.00000","225.40565","  0.00000","496.28062","740.65077","172.43452"," 65.21403","  0.00000"
"schaapjes op het droge ","  0.00000"," 38.19012","  0.00000","  0.00000"," 26.28326","  0.00000","  0.00000","  0.00000","179.52495","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000"," 88.62154","  0.00000","  0.00000"," 43.47602","  0.00000"
"slag om de arm ","   0.00000"," 133.66543","   0.00000","   0.00000","  96.37194","  57.96263","   0.00000","   0.00000"," 396.84462"," 286.97530","   0.00000","1592.22992"," 676.21695","   0.00000","   0.00000","   0.00000"," 366.42336","  21.73801","   0.00000"
"snel door de bocht gaan","  0.00000"," 57.28518","  0.00000"," 42.11082","122.65520","  0.00000","  0.00000","  0.00000"," 99.21115","  0.00000","  0.00000","  0.00000","225.40565","  0.00000"," 35.44862","740.65077"," 43.10863","173.90409","  0.00000"
"spijker op zijn kop ","  0.00000","152.76049","  0.00000","  0.00000","122.65520"," 57.96263","  0.00000","  0.00000"," 80.31379","114.79012","  0.00000","  0.00000","  0.00000","  0.00000"," 70.89723","  0.00000","948.38987","  0.00000","  0.00000"
"spijkers met koppen ","   0.00000","  95.47531","   0.00000"," 126.33245"," 105.13303"," 405.73839","   0.00000","   0.00000"," 160.62758","2123.61725","   0.00000","   0.00000","   0.00000"," 690.72604","  35.44862","1481.30153"," 474.19494","  21.73801","   0.00000"
"sterren van de hemel ","  0.00000","305.52098","  0.00000"," 84.22163"," 61.32760","115.92526","  0.00000","  0.00000","207.87099","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000"," 17.72431","  0.00000","366.42336"," 86.95205","  0.00000"
"stok achter de deur ","   0.00000","  95.47531"," 412.07138","   0.00000"," 832.30312"," 115.92526","   0.00000","   0.00000"," 668.49421"," 286.97530","   0.00000","9553.37951"," 901.62261","   0.00000","  35.44862","   0.00000"," 581.96651","  65.21403","   0.00000"
"stuk in zijn kraag ","  0.00000","114.57037","  0.00000"," 84.22163"," 52.56651"," 57.96263","  0.00000","  0.00000"," 63.77860","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000"," 88.62154","  0.00000"," 86.21726"," 43.47602","  0.00000"
